id,name,lat,lon,demand
200,Connaught Place Retail,28.6315,77.2167,18
201,Karol Bagh Distributor,28.6519,77.1909,22
202,Lajpat Nagar Store,28.5677,77.2433,14
203,Saket Mall Delivery,28.5245,77.2066,26
204,Dwarka Sector 10 Hub,28.5811,77.0576,30
205,Rohini Sector 7 Outlet,28.7086,77.1177,24
206,Gurugram Cyber City Client,28.4949,77.0888,20
207,Sohna Road Warehouse Customer,28.4089,77.0420,28
208,Noida Sector 62 Customer,28.6279,77.3649,16
209,Noida Sector 18 Retail,28.5708,77.3261,12
210,Greater Noida Industrial Client,28.4744,77.5040,34
211,Faridabad NIT Distributor,28.4089,77.3178,25
